Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-02-13,636796,10889,624866.0,1041.0,3403.338435166369,1.70996677114806
2021-02-14,636946,10891,625024.0,1031.0,3404.1401059766054,1.7098780744364517
2021-02-15,637087,10893,625158.0,1036.0,3404.893676538228,1.7098135733424162
2021-02-16,637181,10894,625268.0,1019.0,3405.3960569126416,1.7097182747131503
2021-02-17,637315,10894,625343.0,1078.0,3406.112216169786,1.709358794316782
2021-02-18,637445,10896,625496.0,1053.0,3406.806997538657,1.7093239416733992
2021-02-19,637603,10897,625653.0,1053.0,3407.651424125438,1.70905720330676
2021-02-20,637755,10898,625832.0,1025.0,3408.4637838798108,1.7088066734090677
2021-02-21,637900,10900,625929.0,1071.0,3409.2387323297053,1.7087317761404608
2021-02-22,638028,10901,626086.0,1041.0,3409.92282475444,1.7085457064580238
2021-02-23,638173,10903,626261.0,1009.0,3410.6977732043347,1.7084709005238392
2021-02-24,638373,10905,626331.0,1137.0,3411.766667617983,1.708248939099868
2021-02-25,638593,10905,626519.0,1169.0,3412.942451472996,1.707660434736992
2021-02-26,638849,10906,626712.0,1231.0,3414.310636322465,1.7071326714137456
2021-02-27,639092,10909,626876.0,1307.0,3415.6093430350465,1.7069529895539295
2021-02-28,639289,10910,627044.0,1335.0,3416.6622040324896,1.7065834075042745
2021-03-01,639464,10911,627149.0,1404.0,3417.597486644432,1.7062727534309985
2021-03-02,639681,10911,627227.0,1543.0,3418.75723708324,1.705693931819141
2021-03-03,639921,10914,627423.0,1584.0,3420.0399103796167,1.70552302549846
2021-03-04,640182,10915,627566.0,1701.0,3421.434817589427,1.704983895204801
2021-03-05,640494,10918,627797.0,1779.0,3423.102292874718,1.7046217450905083
2021-03-06,640815,10919,628117.0,1779.0,3424.8178684086224,1.7039239093966276
2021-03-07,641101,10921,628377.0,1803.0,3426.3463874201398,1.703475739392077
2021-03-08,641340,10924,628686.0,1730.0,3427.623716244448,1.7033086974147875
2021-03-09,641660,10928,628920.0,1812.0,3429.3339473062847,1.7030826294299162
2021-03-10,642030,10931,629199.0,1900.0,3431.311401971533,1.702568415806115
2021-03-11,642439,10934,629485.0,2020.0,3433.4972910474426,1.7019514693223792
2021-03-12,642870,10936,629841.0,2093.0,3435.800758508854,1.701121533124893
2021-03-13,643289,10939,630143.0,2207.0,3438.0400923054463,1.7004798776288728
2021-03-14,643696,10941,630493.0,2262.0,3440.2152924372194,1.699715393601949
2021-03-15,644064,10944,630799.0,2321.0,3442.182058158331,1.699210016395886
2021-03-16,644489,10945,631056.0,2488.0,3444.4534587873327,1.698244655843622
2021-03-17,645025,10948,631375.0,2702.0,3447.3180958159087,1.6972985543196
2021-03-18,645632,10949,631756.0,2927.0,3450.56219036133,1.69585770222046
2021-03-19,646348,10953,632230.0,3165.0,3454.3888323621886,1.6945979565187794
2021-03-20,647161,10955,632797.0,3409.0,3458.7338881536675,1.6927781494867584
2021-03-21,647984,10956,633410.0,3618.0,3463.1323886658283,1.690782488456505
2021-03-22,648872,10963,633975.0,3934.0,3467.8782798624247,1.6895473991788827
2021-03-23,649973,10967,634595.0,4411.0,3473.7625436095564,1.6873008571125263
2021-03-24,651227,10973,635364.0,4890.0,3480.464511583128,1.68497313532762
2021-03-25,652742,10978,636267.0,5497.0,3488.56138676651,1.6818283487197083
2021-03-26,654276,10987,637238.0,6051.0,3496.759806919189,1.6792607401157922
2021-03-27,655834,10997,638212.0,6625.0,3505.086494401505,1.6767962624688564
2021-03-28,657715,11006,639164.0,7545.0,3515.139446361863,1.6733691644557294
2021-03-29,659616,11012,640575.0,8029.0,3525.299287763585,1.669456168437394
2021-03-30,660611,11016,642166.0,7429.0,3530.6170374714834,1.6675471646702824
2021-03-31,662430,11027,642565.0,8838.0,3540.3386321636103,1.6646287154869193
2021-04-01,665220,11036,643686.0,10498.0,3555.249709233997,1.6590000300652417
2021-04-02,668814,11050,645770.0,11994.0,3574.457741847248,1.6521783335875146
2021-04-03,672381,11060,648674.0,12647.0,3593.521473714657,1.6449007333639707
2021-04-04,676414,11081,651351.0,13982.0,3615.0757295658655,1.6381979083815532
2021-04-05,679962,11096,654277.0,14589.0,3634.0379164639776,1.6318558978295843
2021-04-06,685062,11113,656617.0,17332.0,3661.294724011997,1.622188940563044
2021-04-07,690568,11133,659980.0,19455.0,3690.721387219721,1.6121511567289537
2021-04-08,698005,11157,663667.0,23181.0,3730.468225991215,1.598412618820782
2021-04-09,706526,11196,668699.0,26631.0,3776.00847248468,1.584655058695646
2021-04-10,714423,11235,674415.0,28773.0,3818.213768407564,1.5725977467130818
2021-04-11,725197,11283,679573.0,34341.0,3875.795110470772,1.555853099226831
2021-04-12,736688,11355,687238.0,38095.0,3937.208439006907,1.541358078318094
2021-04-13,750156,11436,695210.0,43510.0,4009.187788821952,1.5244829075552284
2021-04-14,767438,11540,705162.0,50736.0,4101.550955105259,1.5037045337864428
2021-04-15,784137,11652,718176.0,54309.0,4190.798294172783,1.4859648250241986
2021-04-16,803623,11793,730825.0,61005.0,4294.94067689449,1.4674791537823084
2021-04-17,827998,11960,746239.0,69799.0,4425.212183557817,1.4444479334491147
2021-04-18,853460,12121,766398.0,74941.0,4561.293131359322,1.420218873760926
2021-04-19,877146,12361,787898.0,76887.0,4687.882296767632,1.4092294783308594
2021-04-20,905541,12638,807328.0,85575.0,4839.63858114528,1.3956297947856586
2021-04-21,930179,12887,831928.0,85364.0,4971.315683962554,1.38543226626273
2021-04-22,956348,13193,851537.0,91618.0,5111.175173516303,1.37951875258797
2021-04-23,980679,13541,875109.0,92029.0,5241.211523408628,1.380778011969258
2021-04-24,1004782,13898,897804.0,93080.0,5370.029333669394,1.3831856064300514
2021-04-25,1027715,14248,918875.0,94592.0,5492.59411161032,1.3863765732717728
2021-04-26,1047916,14628,940930.0,92358.0,5600.557791860818,1.395913412907141
2021-04-27,1072065,15009,958792.0,98264.0,5729.621447836724,1.4000083950133622
2021-04-28,1098051,15377,979250.0,103424.0,5868.502899001984,1.4003903279538017
2021-04-29,1122286,15772,1008537.0,97977.0,5998.026179575758,1.4053458744027814
2021-04-30,1149333,16147,1033825.0,99361.0,6142.57811560542,1.404901799565487
2021-05-01,1174552,16559,1061246.0,96747.0,6277.360356694341,1.409814124874846
2021-05-02,1194946,16966,1085690.0,92290.0,6386.3555200540095,1.4198131128938043
2021-05-03,1212989,17414,1105983.0,89592.0,6482.785829581247,1.435627198597844
2021-05-04,1232942,17752,1124771.0,90419.0,6589.424080758821,1.439808198601394
2021-05-05,1253902,18063,1143980.0,91859.0,6701.444215309112,1.4405432003458003
2021-05-06,1273035,18398,1164008.0,90629.0,6803.69999939073,1.4452077122781384
2021-05-07,1292867,18739,1183093.0,91035.0,6909.6915694480485,1.4494143635810954
2021-05-08,1310231,19071,1203253.0,87907.0,7002.492982440951,1.4555448619365592
2021-05-09,1323567,19344,1217991.0,86232.0,7073.766861942987,1.461505159920125
2021-05-10,1336218,19663,1231297.0,85258.0,7141.37977807828,1.4715413203534151
2021-05-11,1348699,20010,1244880.0,83809.0,7208.084133961972,1.4836520231719603
2021-05-12,1361986,20310,1258951.0,82725.0,7279.096134332663,1.4912047554086458
2021-05-13,1372475,20618,1274140.0,77717.0,7335.154301856423,1.502249585602652
2021-05-14,1380981,20907,1288280.0,71794.0,7380.614381268865,1.5139237976481936
2021-05-15,1387411,21244,1299872.0,66295.0,7414.979336667642,1.531197316440478
2021-05-16,1393867,21506,1309578.0,62783.0,7449.483248340194,1.5429018694036087
2021-05-17,1398391,21846,1320496.0,56049.0,7473.661639976907,1.5622240131694212
2021-05-18,1402873,22111,1329899.0,50863.0,7497.615563786755,1.5761227138878573
2021-05-19,1406719,22346,1339326.0,45047.0,7518.170403361202,1.588519100118787
2021-05-20,1409950,22579,1347157.0,40214.0,7535.438392613682,1.6014043051172029
2021-05-21,1412959,22831,1354445.0,35683.0,7551.519909067015,1.6158289094021836
2021-05-22,1415219,23013,1360898.0,31308.0,7563.598415941235,1.6261087506597918
