Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-02-06,0.19763776615200002,0.23646388303803745,0.2343486778376226,0.0016110921251769762,0.19763776615199996,0.9996075542828056,2021-02-06
2021-02-07,0.19776002860324915,0.2365877834221286,0.2345333359467442,0.0010057120538983534,0.1977600286032491,0.9995907276716496,2021-02-07
2021-02-08,0.19788845554783852,0.23677363399826534,0.23467569806439093,0.0008494849387296784,0.19788845554783857,1.0,2021-02-08
2021-02-09,0.1979911971035101,0.23677363399826534,0.23482424983932682,0.0004198603720158168,0.19799119710350993,0.9991879089945783,2021-02-09
2021-02-10,0.19812167887921295,0.2368975343823566,0.23482424983932682,0.0016403847092711019,0.198121678879213,0.9991062260548604,2021-02-10
2021-02-11,0.1982675718882665,0.23702143476644777,0.23509865797913876,0.00041009617731777546,0.19826757188826644,0.9989028365249526,2021-02-11
2021-02-12,0.1984124374817634,0.2372072853425845,0.23523895687768925,0.00042962456671385985,0.19841243748176346,0.9991820927514352,2021-02-12
2021-02-13,0.1985418918419095,0.2372072853425845,0.2353813189953361,0.0003124542303373518,0.19854189184190935,0.9981598811910546,2021-02-13
2021-02-14,0.19869600417541677,0.23733118572667578,0.2355443133039462,0.00021481228335692992,0.19869600417541672,0.9978919615965998,2021-02-14
2021-02-15,0.1988408697689137,0.23745508611076693,0.23568254898340035,0.00026363325684714174,0.19884086976891385,0.997697127914015,2021-02-15
2021-02-16,0.19893744683124492,0.2375170363028125,0.23579602603369854,9.76419469804219e-05,0.19893744683124487,0.9974092663953398,2021-02-16
2021-02-17,0.19907512051584475,0.2375170363028125,0.2358733967498109,0.0006737294341649172,0.1990751205158448,0.9963234105584888,2021-02-17
2021-02-18,0.19920868453821783,0.23764093668690367,0.23603123301068019,0.00042962456671385985,0.19920868453821777,0.9962181337572238,2021-02-18
2021-02-19,0.1993710161961788,0.23770288687894936,0.23619319570974218,0.00042962456671385985,0.19937101619617875,0.9954124169079783,2021-02-19
2021-02-20,0.19952718336079955,0.23776483707099494,0.23637785381886378,0.00015622711516867678,0.1995271833607995,0.9946556597816834,2021-02-20
2021-02-21,0.19967615861652332,0.2378887374550861,0.23647791994503575,0.000605380071278621,0.19967615861652327,0.9944294231437398,2021-02-21
2021-02-22,0.19980766780778292,0.23795068764713168,0.23663988264409774,0.0003124542303373518,0.19980766780778286,0.9938673762205239,2021-02-22
2021-02-23,0.19995664306350658,0.23807458803122283,0.23682041431502665,0.0,0.19995664306350652,0.9936414154697122,2021-02-23
